TargetPath,URL,TotalBytes,StartTime,EndTime,MimeType
C:\Users\Xphar\Downloads\xampp-portable-windows-x64-8.1.17-0-VS16.7z,https://sourceforge.net/projects/xampp/files/XAMPP%20Windows/8.1.17/xampp-portable-windows-x64-8.1.17-0-VS16.7z/download,127970554,2023-04-20T13:06:12.008106+03:00,2023-04-20T13:06:39.343874+03:00,application/x-7z-compressed
C:\Users\Xphar\Downloads\HeidiSQL_12.4.0.6659_Setup.exe,https://www.heidisql.com/download.php?download=portable#google_vignette,40955440,2023-04-20T22:35:45.746565+03:00,2023-04-20T22:36:03.461464+03:00,application/x-msdownload
C:\Users\Xphar\Downloads\node-v20.0.0-x64.msi,https://nodejs.org/en,26361856,2023-04-22T08:45:56.669868+03:00,2023-04-22T08:46:09.099111+03:00,application/octet-stream
C:\Users\Xphar\Downloads\wordpress-6.2.zip,https://wordpress.org/download/,24497322,2023-04-20T10:31:05.056586+03:00,2023-04-20T10:31:53.935787+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\hashcat-6.2.6.7z,https://hashcat.net/hashcat/,20951515,2023-05-06T08:03:50.650486+03:00,2023-05-06T08:03:57.688255+03:00,application/x-7z-compressed
C:\Users\Xphar\Downloads\ngrok-v3-stable-windows-amd64.zip,https://dashboard.ngrok.com/get-started/setup,8565235,2023-04-21T19:31:14.745989+03:00,2023-04-21T19:31:27.223749+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\V1CE (5_12_2023 2_12_59 AM).html,chrome-extension://mpiodijhokgodhhofbcjdecpffjipkle/src/core/bg/background.html,6552599,2023-05-11T23:13:04.276541+03:00,2023-05-11T23:13:05.470393+03:00,text/html
C:\Users\Xphar\Downloads\1 Million Turkey Phone Pass.rar,https://mega.nz/file/BOwRBQqB#dDPuvu9ytEq58RCGvMeH7l3bmhvcFiP-G6BbRZI0reU,5709521,2023-05-27T08:16:04.213308+03:00,2023-05-27T08:16:05.279751+03:00,application/octet-stream
C:\Users\Xphar\Downloads\mahmoud_chef_2-transformed.jpeg,https://www.upscale.media/upload,3474392,2023-05-25T09:47:57.000802+03:00,2023-05-25T09:47:57.566998+03:00,image/jpeg
C:\Users\Xphar\Downloads\[No Copyright Music]  Broken Piano  Horror Music  Royalty Free Music.mp3,https://ytmp3.nu/8bf6/,2535268,2023-05-27T20:28:41.406752+03:00,2023-05-27T20:28:42.582067+03:00,audio/mpeg
C:\Users\Xphar\Downloads\istanbul.pdf,https://learn.bilgi.edu.tr/pluginfile.php/563937/assignsubmission_file/submission_files/422877/istanbul.pdf?forcedownload=1,2424831,2023-05-29T12:30:18.612421+03:00,2023-05-29T12:30:23.60071+03:00,application/pdf
C:\Users\Xphar\Downloads\Halk Sagligi Yonetim Sist - Linkvertise Downloader.zip,https://linkvertise.download/download/68451/halk-sagligi-yonetim-sist/g24mfq1WS88gF98gdXmSrTurJlYbwcRK,2103076,2023-05-04T19:56:29.113227+03:00,2023-05-04T19:56:32.062438+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\Download Linked database - Linkvertise Downloader.zip,https://linkvertise.download/download/68451/a5SEe6407290213/WgrQAjMi8TsnO0M6MwtdjF1gF2i4JFmY,2103072,2023-05-06T21:39:34.1718+03:00,2023-05-06T21:39:37.979297+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\_نحن نشتغل بحبك_ أغنية مؤثرة أهداها شباب تركيا للرئيس أردوغان Yarınlara Güleceğiz.mp3,https://ytmp3.nu/XIf/,1663533,2023-04-22T16:57:47.314312+03:00,2023-04-22T16:57:47.941615+03:00,audio/mpeg
C:\Users\Xphar\Downloads\7z2201-x64.exe,https://www.7-zip.org/download.html,1575742,2023-05-06T10:09:32.869962+03:00,2023-05-06T10:09:35.554226+03:00,application/x-msdownload
C:\Users\Xphar\Downloads\Abdurrhaman Nafi's Digital Business Card.zip,https://www.smartvcard.com/,1436159,2023-05-13T22:34:33.203135+03:00,2023-05-13T22:34:35.348359+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\thani.sql,http://localhost:4040/phpmyadmin/index.php?route=/table/export&db=qatar&table=thani&single_table=true,1311059,2023-05-15T21:04:04.256896+03:00,2023-05-15T21:04:04.741165+03:00,text/x-sql
C:\Users\Xphar\Downloads\VoiceChanger64f(1.75).exe,https://clownfish-translator.com/voicechanger/download.html,1301504,2023-05-25T09:27:06.238521+03:00,2023-05-25T09:27:07.964131+03:00,application/x-msdownload
C:\Users\Xphar\Downloads\new_bg-transformed.jpeg,https://www.upscale.media/upload,1043168,2023-05-29T10:38:07.195467+03:00,2023-05-29T10:38:08.546068+03:00,image/jpeg
C:\Users\Xphar\Downloads\M4nifest0_IG_ReportV4-main.zip,https://github.com/attakercyebr/M4nifest0_IG_ReportV4,939678,2023-05-01T21:32:04.299637+03:00,2023-05-01T21:32:05.756782+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\HACXX_JS_DOWNLOADER_rar_c9qR8.exe,https://mp-download.org/api/getbundle/?partner_apikey=fc637ad2fa123a2358df5768a2427c14&r=efb462b91746b25c1bb4c48bdb90a1ce&bl=0&b=1&program_slug=oxy_cloud&utm_term=oxy_cloud&utm_campaign=&utm_source=&utm_medium=&utm_content=&utm_clickid=&sourceURL=https%3A%2F%2Floader.oxy.st%2Fget%2Fced599c210d0aa51cc424efb9aa81f11%2FHACXX_JS-DOWNLOADER_IE_RCE_EXPLOIT_2021.rar&sourceName=HACXX%20JS-DOWNLOADER%20.rar&sourceIntro=&sourceNote=&rfr=https%3A%2F%2Foxy.st%2Fd%2FcQId,932976,2023-05-04T07:40:12.316988+03:00,1601-01-01T00:00:00+03:00,application/x-msdownload
C:\Users\Xphar\Downloads\HACXX_JS_DOWNLOADER_rar_c9qRo.exe,https://mp-download.org/api/getbundle/?partner_apikey=fc637ad2fa123a2358df5768a2427c14&r=efb462b91746b25c1bb4c48bdb90a1ce&bl=0&b=1&program_slug=oxy_cloud&utm_term=oxy_cloud&utm_campaign=&utm_source=&utm_medium=&utm_content=&utm_clickid=&sourceURL=https%3A%2F%2Floader.oxy.st%2Fget%2Fced599c210d0aa51cc424efb9aa81f11%2FHACXX_JS-DOWNLOADER_IE_RCE_EXPLOIT_2021.rar&sourceName=HACXX%20JS-DOWNLOADER%20.rar&sourceIntro=&sourceNote=&rfr=https%3A%2F%2Foxy.st%2Fd%2FcQId%23,932976,2023-05-04T07:40:25.571638+03:00,1601-01-01T00:00:00+03:00,application/x-msdownload
C:\Users\Xphar\Downloads\HACXX_JS_DOWNLOADER_rar_c9qJ7.exe,https://mp-download.org/api/getbundle/?partner_apikey=fc637ad2fa123a2358df5768a2427c14&r=87039153cd80cfdc9245730d3faf0566&bl=0&b=1&program_slug=oxy_cloud&utm_term=oxy_cloud&utm_campaign=&utm_source=&utm_medium=&utm_content=&utm_clickid=&sourceURL=https%3A%2F%2Floader.oxy.st%2Fget%2Fca2724f960aa522654a9f447c6b33a94%2FHACXX_JS-DOWNLOADER_IE_RCE_EXPLOIT_2021.rar&sourceName=HACXX%20JS-DOWNLOADER%20.rar&sourceIntro=&sourceNote=&rfr=https%3A%2F%2Foxy.st%2Fd%2FcQId,932976,2023-05-04T07:32:03.153325+03:00,1601-01-01T00:00:00+03:00,application/x-msdownload
C:\Users\Xphar\Downloads\61MB_TR_User_Pass_Corar_c8xwt.exe,https://mp-download.org/api/getbundle/?partner_apikey=fc637ad2fa123a2358df5768a2427c14&r=48b5c5de154b63b52ea4993778d50f64&bl=0&b=1&program_slug=oxy_cloud&utm_term=oxy_cloud&utm_campaign=&utm_source=&utm_medium=&utm_content=&utm_clickid=&sourceURL=https%3A%2F%2Floader.oxy.st%2Fget%2F41ce73099110a42d8452a336ca09aa49%2F61MB_TR_User-Pass_Combo.rar&sourceName=61MB%20TR%20User-Pass%20Co.rar&sourceIntro=&sourceNote=&rfr=https%3A%2F%2Foxy.st%2Fd%2Fzjfe,932976,2023-05-01T23:35:46.497949+03:00,1601-01-01T00:00:00+03:00,application/x-msdownload
C:\Users\Xphar\Downloads\zapped.vcf,https://zapped.to/example/?export=vcard&referrer=vcard,774999,2023-05-11T19:45:55.899665+03:00,2023-05-11T19:45:57.372842+03:00,text/x-vcard
C:\Users\Xphar\Downloads\Auto-GPT-master.zip,https://github.com/Significant-Gravitas/Auto-GPT,721596,2023-05-13T21:55:26.442714+03:00,2023-05-13T21:55:29.578326+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\CENK  DEBENSASON's Digital Business Card.zip,https://www.smartvcard.com/,658561,2023-05-25T10:07:29.497581+03:00,2023-05-25T10:07:31.555725+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\Mr.Abdurrahman Nafi's Digital Business Card.zip,https://www.smartvcard.com/,646965,2023-05-09T21:47:48.877074+03:00,2023-05-09T21:47:51.516299+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\FastForward_chromium.zip,https://github.com/FastForwardTeam/FastForward/blob/main/INSTALLING.md,522472,2023-05-30T13:00:35.694979+03:00,2023-05-30T13:00:41.963091+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\Ameer Al Mulla's Digital Business Card.zip,https://www.smartvcard.com/,520652,2023-05-22T22:22:25.523139+03:00,2023-05-22T22:22:27.286705+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\Selected Problem - 1.pdf,https://learn.bilgi.edu.tr/pluginfile.php/552087/mod_folder/content/0/Selected%20Problem%20-%201.pdf?forcedownload=1,474231,2023-05-31T11:48:08.909965+03:00,2023-05-31T11:48:10.150542+03:00,application/pdf
C:\Users\Xphar\Downloads\defence.sql,http://localhost:4040/phpmyadmin/index.php?route=/table/export&db=qatar&table=defence&single_table=true,443674,2023-05-15T21:03:45.545196+03:00,2023-05-15T21:03:45.950488+03:00,text/x-sql
C:\Users\Xphar\Downloads\Ahmed  Aboulfotouh's Digital Business Card.zip,https://www.smartvcard.com/,424300,2023-05-16T19:44:10.975845+03:00,2023-05-16T19:44:12.550284+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\ahmetfatihoglu.vcf,https://files.000webhost.com/handler.php?action=download?action=download&path=%2Fpublic_html%2Fdotsstudios%2Fahmetfatihoglu.vcf,390124,2023-05-16T19:44:25.774431+03:00,2023-05-16T19:44:27.009602+03:00,text/x-vcard
C:\Users\Xphar\Downloads\EEEN222_Assignment1_spring2022 (1).pdf,https://learn.bilgi.edu.tr/pluginfile.php/563937/mod_assign/introattachment/0/EEEN222_Assignment1_spring2022.pdf?forcedownload=1,386321,2023-04-20T09:26:29.993819+03:00,2023-04-20T09:26:30.912227+03:00,application/pdf
C:\Users\Xphar\Downloads\Files-main.zip,https://github.com/hacxx-underground/Files,363285,2023-05-04T07:29:32.956389+03:00,1601-01-01T00:00:00+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\mrabdurrahmannafi.vcf,https://www.smartvcard.com/,360724,2023-05-09T21:47:13.900635+03:00,2023-05-09T21:47:14.759687+03:00,text/x-vcard
C:\Users\Xphar\Downloads\PentestTools-WebsiteScanner-report.pdf,https://pentest-tools.com/website-vulnerability-scanning/website-scanner,360321,2023-05-27T20:01:21.668062+03:00,2023-05-27T20:01:22.495927+03:00,application/pdf
C:\Users\Xphar\Downloads\Selected Problem - 2 (1).pdf,https://learn.bilgi.edu.tr/mod/folder/view.php?id=251566,352661,2023-05-31T11:48:17.327203+03:00,2023-05-31T11:48:17.928488+03:00,application/pdf
C:\Users\Xphar\Downloads\cover-P5OZmvvmq-transformed.jpeg,https://www.upscale.media/upload,347677,2023-05-25T10:13:11.986881+03:00,2023-05-25T10:13:12.357723+03:00,image/jpeg
C:\Users\Xphar\Downloads\680342.jpg,https://wallpaperaccess.com/red-hacker,317089,2023-04-26T11:53:31.321272+03:00,2023-04-26T11:53:31.918991+03:00,image/jpeg
C:\Users\Xphar\Downloads\vecteezy_crown-crown-logo-vector-royal-crown-logo-image-crown-icon_5576336_263.zip,https://www.vecteezy.com/vector-art/5576336-crown-crown-logo-vector-royal-crown-logo-image-crown-icon-simple-sign-crown-icon-flat-vector-design-illustration,288642,2023-05-11T20:11:24.039172+03:00,2023-05-11T20:11:26.123983+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\WhatsApp_Image_2023-05-16_at_13.57.19-removebg-preview.png,https://o.remove.bg/downloads/33fd342f-80c2-40ec-ac82-7fabf1e4d6a2/WhatsApp_Image_2023-05-16_at_13.57.19-removebg-preview.png,283940,2023-05-16T10:57:54.136843+03:00,2023-05-16T10:57:54.470337+03:00,image/png
C:\Users\Xphar\Downloads\venom-marvels-spiderman-2-hd-wallpaper-1920x1080-uhdpaper.com-691.1_b.jpg,https://image-1.uhdpaper.com/b/pc-hd/venom-marvels-spiderman-2-hd-wallpaper-1920x1080-uhdpaper.com-691.1_b.jpg,232717,2023-04-20T09:55:12.42838+03:00,2023-04-20T09:55:15.919577+03:00,image/jpeg
C:\Users\Xphar\Downloads\1517434896112-removebg-preview.png,https://o.remove.bg/downloads/304bd241-e22c-40c9-9bb8-c8d83a185848/1517434896112-removebg-preview.png,231733,2023-05-16T10:17:00.712116+03:00,2023-05-16T10:17:01.025676+03:00,image/png
C:\Users\Xphar\Downloads\al_jazeera___full.sql,http://localhost:4040/phpmyadmin/index.php?route=/table/export&db=qatar&table=al_jazeera___full&single_table=true,189494,2023-05-15T21:03:00.918151+03:00,2023-05-15T21:03:01.478825+03:00,text/x-sql
C:\Users\Xphar\Downloads\localhost_4040 _ 127.0.0.1 _ phpMyAdmin 5.2.1 (5_30_2023 9_46_11 PM).html,chrome-extension://mpiodijhokgodhhofbcjdecpffjipkle/src/core/bg/background.html,186829,2023-05-30T18:46:11.992921+03:00,2023-05-30T18:46:13.372099+03:00,text/html
C:\Users\Xphar\Downloads\Assignment 2-v1.pdf,https://learn.bilgi.edu.tr/pluginfile.php/581517/mod_assign/introattachment/0/Assignment%202-v1.pdf?forcedownload=1,185820,2023-05-29T12:26:22.99983+03:00,2023-05-29T12:26:26.101633+03:00,application/pdf
C:\Users\Xphar\Downloads\pharmacy-concept-logo-design-vector.webp,https://www.google.com/search?q=pharmacy+logo+purple&tbm=isch&ved=2ahUKEwiMuODun-n-AhXQxqQKHZ9OAIsQ2-cCegQIABAA&oq=pharmacy+logo+purple&gs_lcp=CgNpbWcQAzIFCAAQgAQ6BwgAEIoFEEM6BggAEAgQHlCUB1iqD2CvEGgAcAB4AIABmAGIAdYHkgEDMC44mAEAoAEBqgELZ3dzLXdpei1pbWfAAQE&sclient=img&ei=TcRaZMzdINCNkwWfnYHYCA&bih=743&biw=1536#imgrc=aswOWREresMOfM,177030,2023-05-09T22:08:28.1507+03:00,2023-05-09T22:08:35.491424+03:00,image/webp
C:\Users\Xphar\Downloads\Assignment 1-v1.pdf,https://learn.bilgi.edu.tr/pluginfile.php/561262/mod_assign/introattachment/0/Assignment%201-v1.pdf?forcedownload=1,171529,2023-05-01T20:08:33.847289+03:00,2023-05-01T20:08:34.980961+03:00,application/pdf
C:\Users\Xphar\Downloads\1531684531536.jpeg,https://media.licdn.com/dms/image/C4E03AQHirLuInK6Jag/profile-displayphoto-shrink_800_800/0/1531684531536?e=2147483647&v=beta&t=rWp5k1whomraBYSeySu1RBbQjiE6ZYv0F2do0vzNl1E,166597,2023-05-16T19:28:42.109485+03:00,2023-05-16T19:28:47.407041+03:00,image/jpeg
C:\Users\Xphar\Downloads\cover.png,https://files.000webhost.com/handler.php?action=download?action=download&path=%2Fpublic_html%2Fdotsstudios%2Fcover.png,160426,2023-05-16T19:27:48.379647+03:00,2023-05-16T19:27:48.722196+03:00,image/png
C:\Users\Xphar\Downloads\SHIEKH MOHAMED A.  AL-THANI's Digital Business Card.zip,https://www.smartvcard.com/,152381,2023-05-16T11:02:02.931239+03:00,2023-05-16T11:02:04.480398+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\Untitled-1.png,https://www.img2go.com/result#j=854a23bd-7938-4e21-be12-4651a9689485,149667,2023-05-09T21:33:38.881143+03:00,2023-05-09T21:33:39.418886+03:00,image/png
C:\Users\Xphar\Downloads\pharmaciest woman model2.jpg,https://www.google.com/search?q=cute+pharmacist&tbm=isch&ved=2ahUKEwjxqPPOvO7-AhWMG-wKHcZRBbwQ2-cCegQIABAA&oq=cute+pharmacist&gs_lcp=CgNpbWcQAzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQBxAeMgYIABAIEB4yBwgAEBgQgARQ_wZY_wZgyAloAHAAeACAAYYBiAH-AZIBAzAuMpgBAKABAaoBC2d3cy13aXotaW1nwAEB&sclient=img&ei=ioFdZPG7A4y3sAfGo5XgCw&bih=743&biw=1536#imgrc=eYKqi5u9e3wyyM,148695,2023-05-12T00:02:10.766053+03:00,2023-05-12T00:02:20.103952+03:00,image/jpeg
C:\Users\Xphar\Downloads\Ensar Kirman's Digital Business Card.zip,https://www.smartvcard.com/,143100,2023-05-29T10:46:36.057257+03:00,2023-05-29T10:46:38.47947+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\pharmacy-concept-logo-design-vector (1).jpg,https://www.img2go.com/result#j=9775e51b-d1e9-47a2-ace6-7a6d999f9d41,141240,2023-05-10T18:26:33.411772+03:00,2023-05-10T18:26:33.949879+03:00,image/jpeg
C:\Users\Xphar\Downloads\pharmacy-concept-logo-design-vector.jpg,https://www.img2go.com/result#j=9775e51b-d1e9-47a2-ace6-7a6d999f9d41,141240,2023-05-09T22:09:32.031262+03:00,2023-05-09T22:09:32.450593+03:00,image/jpeg
C:\Users\Xphar\Downloads\Files-2-main.zip,https://github.com/hacxx-underground/Files-2,139443,2023-05-04T07:41:06.044768+03:00,2023-05-04T07:41:07.744651+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\3367886.jpg,https://wallpaperaccess.com/red-hacker,131738,2023-04-26T11:54:18.890617+03:00,2023-04-26T11:54:19.337633+03:00,image/jpeg
C:\Users\Xphar\Downloads\mukhabrat.sql,http://localhost:4040/phpmyadmin/index.php?route=/table/export&db=qatar&table=mukhabrat&single_table=true,125989,2023-05-15T21:03:50.05432+03:00,2023-05-15T21:03:50.455809+03:00,text/x-sql
E:\Leaked Databases\xampp\htdocs\sorgula\background_search.jpg,https://t3.ftcdn.net/jpg/01/68/76/94/360_F_168769418_GHALsqlIr8jlG6iIhIfuSPOr2hnWk53r.jpg,116163,2023-04-20T15:56:15.819442+03:00,2023-04-20T15:56:41.196331+03:00,image/jpeg
,https://www.google.com/search?q=wallpaper+for+hackers&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjztLmb2bj-AhVQRvEDHRAqCloQ_AUoAXoECAIQAw&biw=1536&bih=698&dpr=1.25#imgrc=p0gwYdUNZJ8nuM,116163,2023-04-20T14:44:55.566095+03:00,1601-01-01T00:00:00+03:00,image/jpeg
C:\Users\Xphar\Downloads\Luna Ulubey 's Digital Business Card (1).zip,https://www.smartvcard.com/,114022,2023-05-12T00:46:28.262102+03:00,2023-05-12T00:46:30.464728+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\Luna Ulubey 's Digital Business Card.zip,https://www.smartvcard.com/,114005,2023-05-12T00:36:09.589638+03:00,2023-05-12T00:36:11.155095+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\Luna Ulubey 's Digital Business Card (2).zip,https://www.smartvcard.com/,113350,2023-05-12T00:52:37.594983+03:00,2023-05-12T00:52:39.226151+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\Luna Ulubey 's Digital Business Card (3).zip,https://www.smartvcard.com/,113333,2023-05-12T00:53:55.441133+03:00,2023-05-12T00:53:57.437262+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\40692-house presentation template.zip,https://www.slideegg.com/house-presentation-template-3400,105787,2023-04-27T08:42:23.38783+03:00,2023-04-27T08:42:24.697041+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\_𝒮𝐸𝑅𝒦𝒜𝒩  𝒜𝒦𝒮𝒪𝒴's Digital Business Card.zip,https://www.smartvcard.com/,92689,2023-05-12T11:44:42.075625+03:00,2023-05-12T11:44:43.987775+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\𝒮𝐸𝑅𝒦𝒜𝒩 𝒜𝒦𝒮𝒪𝒴's Digital Business Card.zip,https://www.smartvcard.com/,92680,2023-05-12T11:34:00.901308+03:00,2023-05-12T11:34:02.654037+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\DecoType Thuluth.ttf,https://brushez.com/free_download/Ixia1/40625,89348,2023-05-11T20:32:05.07445+03:00,2023-05-11T20:32:05.98281+03:00,x-font/ttf
C:\Users\Xphar\Downloads\Free_Proxy_List.txt,https://geonode.com/free-proxy-list,83507,2023-05-27T21:19:27.662515+03:00,2023-05-27T21:19:27.965901+03:00,text/plain
C:\Users\Xphar\Downloads\Free_Proxy_List (2).txt,https://geonode.com/free-proxy-list,82800,2023-05-29T10:54:57.438839+03:00,2023-05-29T10:54:57.690487+03:00,text/plain
C:\Users\Xphar\Downloads\Free_Proxy_List (1).txt,https://geonode.com/free-proxy-list,82558,2023-05-29T10:54:44.58724+03:00,2023-05-29T10:54:44.845334+03:00,text/plain
C:\Users\Xphar\Downloads\contactless-payment-google-pay-debit-card-contactless-smart-card-mastercard.jpg,https://www.google.com/search?q=wireless+payment+logo+no+background&tbm=isch&ved=2ahUKEwiE66u0mPL-AhXPwKQKHSteAdQQ2-cCegQIABAA&oq=wireless+payment+logo+no+background&gs_lcp=CgNpbWcQDFAAWABgAGgAcAB4AIABAIgBAJIBAJgBAKoBC2d3cy13aXotaW1n&sclient=img&ei=cXRfZMTuJs-BkwWrvIWgDQ&bih=743&biw=1536#imgrc=LmFIhZ-NQTa5XM,79284,2023-05-13T11:31:29.71872+03:00,2023-05-13T11:31:35.761023+03:00,image/jpeg
C:\Users\Xphar\Downloads\الشيخ محمد عبدالرحمن محمد جبر  ال ثاني's Digital Business Card.zip,https://www.smartvcard.com/,73419,2023-05-16T10:41:53.624899+03:00,2023-05-16T10:41:55.637311+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\sanic-t2.jpg,http://wallpaperswide.com/sanic-wallpapers.html,64808,2023-04-20T09:57:23.030344+03:00,2023-04-20T09:57:27.763555+03:00,image/jpeg
C:\Users\Xphar\Downloads\Darüşşifa Eczanesi 's Digital Business Card.zip,https://www.smartvcard.com/,61413,2023-05-12T00:07:07.122096+03:00,2023-05-12T00:07:09.290398+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\wso.rar,https://www.r57shell.net/shells/wso.rar,48249,2023-05-06T10:23:21.870578+03:00,2023-05-06T10:23:29.905114+03:00,application/x-rar-compressed
C:\Users\Xphar\Downloads\Contact X\Althani\1517434896112.jpeg,https://www.google.com/search?q=Qatar+gold+logo+&tbm=isch&ved=2ahUKEwjZsLPtyvn-AhWb7rsIHWVqB50Q2-cCegQIABAA&oq=Qatar+gold+logo+&gs_lcp=CgNpbWcQAzIGCAAQCBAeOgUIABCABDoHCAAQigUQQzoHCAAQGBCABFCaFVjtNGC7OmgAcAB4AIABpQGIAc4RkgEEMC4xN5gBAKABAaoBC2d3cy13aXotaW1nwAEB&sclient=img&ei=3VRjZJnODpvd7_UP5dSd6Ak&bih=743&biw=1536#imgrc=664VPdmIJsEA2M&imgdii=NUk3h_cDKy7f4M,46822,2023-05-16T10:11:49.860039+03:00,2023-05-16T10:12:04.675431+03:00,image/jpeg
C:\Users\Xphar\Downloads\mahmoud chef 2 .jpg,https://www.hurriyet.com.tr/yazarlar/vedat-milor/gastronomik-bir-destinasyon-olmaya-aday-42214036,40730,2023-05-25T09:46:13.233569+03:00,2023-05-25T09:46:37.249638+03:00,image/jpeg
C:\Users\Xphar\Downloads\msdt-follina-main.zip,https://github.com/JohnHammond/msdt-follina,39405,2023-05-06T16:05:29.320324+03:00,1601-01-01T00:00:00+03:00,application/x-zip-compressed
C:\Users\Xphar\Downloads\Ensar-Mahmoud\ensar pp.jpg,https://www.instagram.com/direct/t/17849857859679605/,34977,2023-05-29T10:29:38.371064+03:00,2023-05-29T10:29:42.660487+03:00,image/jpeg
